"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","out_bool","cond","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"158","b02_igolubev",13,"BC",8.6,2.8,7,NA,"accept",12259,1.4,TRUE,"b",0,1,7.7,4,8.7,3.2,1
"159","b02_igolubev",13,"SC",3.2,NA,2.8,5,"accept",10110,6.8,TRUE,"b",1,1,3.6,8.6,2.5,3.8,1
"160","b02_igolubev",14,"NC",3.8,NA,4,NA,"reject",9143,0,FALSE,"b",1,1,4,3.2,4.1,8.7,1
"161","b02_igolubev",14,"BC",8.7,8.1,7,NA,"accept",11614,1.3,TRUE,"b",1,0,8.6,3.8,8.6,2.5,0
"162","b02_igolubev",14,"SC",2.5,NA,2.1,2.3,"accept",7953,7.5,TRUE,"b",1,1,3.2,8.7,3.2,4.1,1
"163","b02_igolubev",15,"NC",4.1,NA,3.1,NA,"accept",9568,5.9,TRUE,"b",0,1,3.8,2.5,3.6,8.6,1
"164","b02_igolubev",15,"BC",8.6,7.6,3.1,NA,"accept",11197,1.4,TRUE,"b",1,1,8.7,4.1,8,3.2,1
"165","b02_igolubev",15,"SC",3.2,NA,2.9,2.3,"accept",11815,6.8,TRUE,"b",1,1,2.5,8.6,3.4,3.6,0
"166","b02_igolubev",16,"NC",3.6,NA,3,NA,"accept",8394,6.4,TRUE,"b",1,1,4.1,3.2,3.4,8,1
"167","b02_igolubev",16,"BC",8,7.8,4,NA,"accept",11248,2,TRUE,"b",1,1,8.6,3.6,7,3.4,1
"168","b02_igolubev",16,"SC",3.4,NA,1,0.1,"accept",9681,6.6,TRUE,"b",1,1,3.2,8,1.9,3.4,0
"169","b02_igolubev",17,"NC",3.4,NA,1,NA,"accept",7031,6.6,TRUE,"b",1,1,3.6,3.4,3.4,7,1
"170","b02_igolubev",17,"BC",7,8.9,2,NA,"reject",7434,0,FALSE,"b",1,1,8,3.4,9.1,1.9,1
"171","b02_igolubev",17,"SC",1.9,NA,1,0.2,"accept",7451,8.1,TRUE,"b",1,0,3.4,7,1.6,3.4,1
"172","b02_igolubev",18,"NC",3.4,NA,0,NA,"accept",11442,6.6,TRUE,"b",1,1,3.4,1.9,2.9,9.1,1
"173","b02_igolubev",18,"BC",9.1,8.8,2,NA,"accept",14586,0.9,TRUE,"b",0,1,7,3.4,9,1.6,1
"174","b02_igolubev",18,"SC",1.6,NA,1,0,"accept",12477,8.4,TRUE,"b",1,1,1.9,9.1,1,2.9,1
"175","b02_igolubev",19,"NC",2.9,NA,4,NA,"reject",10602,0,FALSE,"b",1,1,3.4,1.6,0.1,9,1
"176","b02_igolubev",19,"BC",9,8,2,NA,"accept",10905,1,TRUE,"b",1,0,9.1,2.9,9.1,1,1
"177","b02_igolubev",19,"SC",1,NA,1,0.1,"accept",11853,9,TRUE,"b",1,1,1.6,9,0.9,0.1,1
"178","b02_igolubev",20,"NC",0.1,NA,1,NA,"reject",16689,0,FALSE,"b",0,1,2.9,1,1.8,9.1,0
"179","b02_igolubev",20,"BC",9.1,8,0,NA,"accept",13204,0.9,TRUE,"b",1,0,9,0.1,6,0.9,0
"180","b02_igolubev",20,"SC",0.9,NA,2.9,0.1,"accept",7403,9.1,TRUE,"b",1,1,1,9.1,1,1.8,1
"181","b02_igolubev",21,"NC",1.8,NA,1,NA,"accept",7722,8.2,TRUE,"b",0,1,0.1,0.9,2,6,1
"182","b02_igolubev",21,"BC",6,9.3,7.2,NA,"reject",12712,0,FALSE,"b",1,1,9.1,1.8,8.1,1,1
"183","b02_igolubev",21,"SC",1,NA,2.9,0,"accept",17249,9,TRUE,"b",1,0,0.9,6,1,2,0
"184","b02_igolubev",22,"NC",2,NA,3.4,NA,"reject",11312,0,FALSE,"b",1,1,1.8,1,2.5,8.1,0
"185","b02_igolubev",22,"BC",8.1,8.5,1,NA,"reject",12813,0,FALSE,"b",0,0,6,2,8,1,1
"186","b02_igolubev",22,"SC",1,NA,0.1,0,"accept",7364,9,TRUE,"b",1,0,1,8.1,0.9,2.5,1
"187","b02_igolubev",23,"NC",2.5,NA,0.1,NA,"accept",8566,7.5,TRUE,"b",0,1,2,1,2.4,8,1
"188","b02_igolubev",23,"BC",8,8.8,8,NA,"reject",8322,0,FALSE,"b",0,1,8.1,2.5,8.5,0.9,0
"189","b02_igolubev",23,"SC",0.9,NA,1,5,"reject",9941,0,FALSE,"b",1,0,1,8,1.2,2.4,1
"190","b02_igolubev",24,"NC",2.4,NA,1,NA,"accept",10213,7.6,TRUE,"b",1,0,2.5,0.9,2.4,8.5,1
"191","b02_igolubev",24,"BC",8.5,7.9,0.1,NA,"accept",10530,1.5,TRUE,"b",0,1,8,2.4,9.2,1.2,1
"192","b02_igolubev",24,"SC",1.2,NA,3.1,0.2,"accept",10368,8.8,TRUE,"b",0,1,0.9,8.5,1.2,2.4,1
"193","b02_igolubev",25,"NC",2.4,NA,5,NA,"reject",6759,0,FALSE,"b",1,1,2.4,1.2,3.5,9.2,1
"194","b02_igolubev",25,"BC",9.2,7,5,NA,"accept",9504,0.8,TRUE,"b",1,0,8.5,2.4,9.4,1.2,0
